物件名,賃料（管理費込）,間取り,面積,築年数,階数,駅徒歩,ペット可,備考
勝川駅周辺平均,64,000円,-,-,-,-,-,-
S-RESIDENCE勝川駅前,67,500円,1K,27.34m²,2年,7階,1分,小型犬・猫2匹,最新物件
Your Maison Seiran,72,000円,1K,26.3m²,2年,2階,6分,-,商店街抜けて安心
サン・フォレスト,68,500円,ワンルーム,27.38m²,新築,5階,28分,-,買い物便利
ウイングコート,65,000円,1LDK,36.56m²,新築,1階,16分,-,収納豊富
ロクス,67,200円,1K,30.52m²,7年,1階,3分,-,オートロック
D-room柏原町,111,000円,2LDK,59.79m²,新築,3階,バス5分+徒歩3分,ペット可,ZEH-M・省エネ
レンブランサ,123,700円,1LDK,50.66m²,1年,2階,バス,小型犬2匹まで,ZEHシャーメゾン
ジーメゾン南花町プレシール,64,000円,1LDK,30.03m²,新築,-,味鋺駅徒歩6分（勝川駅22分）,小型犬・中型犬・猫可・多頭飼育可,ペット可賃貸
プリミエール林島,63,000円,2LDK,47.60m²,-,-,勝川駅徒歩52分,小型犬・猫可,ペット可賃貸
勝川駅徒歩8分ペット可（HOMES）,139,000円,2LDK,58m²,新築,1階/3階建,8分,ペット相談可（小型犬または猫2匹まで）,敷金1ヶ月追加（13.1万円）必要
かわき荘,35,000円,2K,34.77m²,53年,2階,牛山駅徒歩9分,-,-
春日井上ノ町貸家,37,000円,2K,30.38m²,52年,平屋,春日井駅徒歩7分,-,-
いづみマンション,49,000円,2DK,33.84m²,54年,2階,春日井駅徒歩8分,-,-
小野マンション（現在公開中）,55,000円,1LDK,43.91m²,50年,4階,勝川駅徒歩9分,-,-
第一角崎ハイツ（HOMES）,52,000円,2DK,48m²,49年,2階,5分,-,-
ハイツNEW CITY 1階（HOMES）,47,800円,2DK,40.04m²,34年,1階,25分,-,-
ハイツNEW CITY 2階（HOMES）,46,000円,2DK,40.04m²,34年,2階,25分,-,-
2K物件（30-35m²・築40年以上）平均,40,333円,-,-,-,-,-,-
2K物件最高,49,000円,-,-,-,-,-,-
2K物件最低,35,000円,-,-,-,-,-,-
ペット可1K物件平均（勝川駅周辺）,67,500円,-,-,-,-,-,-
ペット可2LDK物件平均,111,000円〜139,000円,-,-,-,-,-,-
ペット可賃料プレミアム,+5,000円〜+10,000円,-,-,-,-,-,-
ペット敷金追加,1ヶ月分（約6.5万〜13.9万円）,-,-,-,-,-,-
不二ガ丘ハイツ,42,000円,1DK,30.27m²,35年,2階,徒歩35分,-,築30-39年物件の安値例
ハイレジデンス勝川,85,000円,-,61.34m²,39年,9階,徒歩6分,-,築30-39年物件の高値例
マンショングリーンオーク,-,1K,-,29年,4階,徒歩4分,-,築20-29年物件（駅近）
アパートサニーハウス細木,-,1K,20.62m²,20年,-,徒歩13分,-,築20-29年物件（敷なし・礼なし）
築20-29年1K平均,47,000円〜64,000円,-,-,-,-,-,-
築20-29年1DK平均,51,000円〜77,000円,-,-,-,-,-,-
築30-39年1DK賃料範囲,42,000円〜85,000円,-,-,-,-,-,-
アンソレイエ勝川,63,000円,1LDK,44.58m²,-,4階,徒歩9分,-,-
小野町物件（築47年）,55,000円,1LDK,43.91m²,47年,4階,徒歩10分,-,敷2ヶ月・礼なし
1977年築物件,50,000円+5,000円,1LDK,-,47年,4階,-,敷2ヶ月・礼なし
築35年物件4階,40,000円（37,000円+3,000円）,1LDK,-,35年,4階,-,-
築40年以上30-35m²物件平均,約50,000円〜55,000円,-,-,-,-,-,-
築40年以上4階1LDK賃料範囲,40,000円〜55,000円,-,-,-,-,-,-
